,Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
173,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-15,"₫1,422,000"
174,SGN,DLI,7:05 AM,8:00 AM,,55 min,2024-06-15,"₫1,702,000"
175,SGN,DLI,10:55 AM,11:55 AM,Operated by Vietnam Air Service,1 hr,2024-06-15,"₫1,702,000"
176,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-16,"₫961,400"
177,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-16,"₫1,098,000"
178,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-16,"₫1,098,000"
179,SGN,DLI,2:35 PM,3:25 PM,,50 min,2024-06-16,"₫1,206,000"
180,SGN,DLI,7:05 AM,8:00 AM,Operated by Vietnam Air Service,55 min,2024-06-16,"₫1,422,000"
181,SGN,DLI,10:55 AM,11:55 AM,Vietnam Airlines,1 hr,2024-06-16,"₫1,422,000"
182,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-17,"₫896,600"
183,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-17,"₫1,098,000"
184,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-17,"₫1,098,000"
185,SGN,DLI,10:55 AM,11:55 AM,,1 hr,2024-06-17,"₫1,206,000"
186,SGN,DLI,7:05 AM,8:00 AM,Operated by Vietnam Air Service,55 min,2024-06-17,"₫1,314,000"
187,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-18,"₫896,600"
188,SGN,DLI,6:05 AM,7:05 AM,Vietnam Airlines,1 hr,2024-06-18,"₫1,098,000"
189,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-18,"₫1,098,000"
190,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-18,"₫1,098,000"
191,SGN,DLI,7:05 AM,8:00 AM,,55 min,2024-06-18,"₫1,206,000"
192,SGN,DLI,10:55 AM,11:55 AM,Operated by Vietnam Air Service,1 hr,2024-06-18,"₫1,206,000"
193,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-19,"₫896,600"
194,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-19,"₫1,098,000"
195,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-19,"₫1,098,000"
196,SGN,DLI,10:55 AM,11:55 AM,,1 hr,2024-06-19,"₫1,314,000"
197,SGN,DLI,5:25 PM,6:20 PM,VietJet Air,55 min,2024-06-20,"₫1,134,200"
198,SGN,DLI,4:20 PM,5:20 PM,Vietnam Airlines,1 hr,2024-06-20,"₫1,422,000"
199,SGN,DLI,6:15 PM,7:20 PM,Vietnam Airlines,1 hr 5 min,2024-06-20,"₫1,422,000"
200,SGN,DLI,2:35 PM,3:25 PM,,50 min,2024-06-20,"₫1,616,000"
201,SGN,DLI,10:55 AM,11:55 AM,Operated by Vietnam Air Service,1 hr,2024-06-20,"₫1,702,000"
202,SGN,DAD,10:45 PM,12:05 AM+1,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫1,227,000"
203,SGN,DAD,11:05 PM,12:25 AM+1,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫1,227,000"
204,SGN,DAD,11:45 PM,1:05 AM+1,Vietnam Airlines,1 hr 20 min,2024-06-13,"₫1,227,000"
205,SGN,DAD,8:50 PM,10:15 PM,Vietravel Airlines,1 hr 25 min,2024-06-13,"₫1,240,040"
206,SGN,DAD,9:10 PM,10:35 PM,Bamboo Airways,1 hr 25 min,2024-06-13,"₫1,275,000"
207,SGN,DAD,9:15 PM,10:45 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,227,000"
208,SGN,DAD,10:15 PM,11:25 PM,Vietnam Airlines,1 hr 10 min,2024-06-13,"₫1,227,000"
209,SGN,DAD,10:30 PM,11:55 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,227,000"
210,SGN,DAD,11:05 PM,12:25 AM+1,VietJet Air,1 hr 20 min,2024-06-13,"₫1,242,200"
211,SGN,DAD,8:25 PM,9:55 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,368,000"
212,SGN,DAD,8:55 PM,10:30 PM,Vietnam Airlines,1 hr 35 min,2024-06-13,"₫1,368,000"
213,SGN,DAD,6:00 AM,7:30 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,486,000"
214,SGN,DAD,8:10 PM,9:35 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,486,000"
215,SGN,DAD,8:30 PM,9:50 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,544,600"
216,SGN,DAD,10:10 PM,11:30 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,544,600"
217,SGN,DAD,6:00 PM,7:25 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,616,000"
218,SGN,DAD,7:45 PM,9:05 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,663,400"
219,SGN,DAD,8:35 PM,9:55 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,663,400"
220,SGN,DAD,9:40 AM,11:05 AM,Bamboo Airways,1 hr 25 min,2024-06-13,"₫1,739,000"
221,SGN,DAD,2:00 PM,3:25 PM,Bamboo Airways,1 hr 25 min,2024-06-13,"₫1,739,000"
222,SGN,DAD,3:20 PM,4:45 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,746,000"
223,SGN,DAD,3:35 PM,5:05 PM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫1,746,000"
224,SGN,DAD,4:00 PM,5:35 PM,Vietnam Airlines,1 hr 35 min,2024-06-13,"₫1,746,000"
225,SGN,DAD,5:35 AM,6:55 AM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,793,000"
226,SGN,DAD,1:40 PM,3:00 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,793,000"
227,SGN,DAD,2:35 PM,3:55 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,793,000"
228,SGN,DAD,4:15 PM,5:35 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,793,000"
229,SGN,DAD,6:00 PM,7:20 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,793,000"
230,SGN,DAD,8:10 AM,9:30 AM,Vietravel Airlines,1 hr 20 min,2024-06-13,"₫1,823,240"
231,SGN,DAD,7:10 AM,8:20 AM,Vietnam Airlines,1 hr 10 min,2024-06-13,"₫1,875,000"
232,SGN,DAD,1:05 PM,2:30 PM,Vietnam Airlines,1 hr 25 min,2024-06-13,"₫1,875,000"
233,SGN,DAD,7:00 AM,8:20 AM,VietJet Air,1 hr 20 min,2024-06-13,"₫1,933,400"
234,SGN,DAD,11:30 AM,12:50 PM,VietJet Air,1 hr 20 min,2024-06-13,"₫2,084,600"
235,SGN,DAD,8:00 AM,9:30 AM,Vietnam Airlines,1 hr 30 min,2024-06-13,"₫2,178,000"
236,SGN,DAD,8:55 AM,10:30 AM,Vietnam Airlines,1 hr 35 min,2024-06-13,"₫2,178,000"
